38
127735433	127736622	1	0	0
127735472	127735816	1	0	1
127735518	127735835	1	0	2
127735658	127735835	1	0	3
127736045	127736611	1	0	4
127736083	127736622	1	0	5
127736219	127736622	1	0	6
127736230	127736622	1	0	7
127736230	127736622	1	0	8
127736440	127736622	1	0	2
127736957	127737197	1	0	9
127737620	127737685	1	0	10
127737723	127738038	1	0	11
127737736	127739018	1	0	12
127737744	127737852	1	0	13
127738247	127739018	1	0	0
127738247	127739018	1	0	5
127738247	127739018	1	0	8
127738247	127739018	1	0	9
127738247	127739018	1	0	10
127738247	127739018	1	0	11
127738247	127739018	1	0	13
127738250	127738771	1	0	2
127738250	127739018	1	0	6
127738279	127739018	1	0	3
127738291	127738474	1	0	7
127739072	127739831	1	0	14
127740395	127741371	1	0	6
127740395	127741433	1	0	3
127740395	127741433	1	0	5
127740395	127741433	1	0	9
127740395	127741433	1	0	10
127740395	127741433	1	0	11
127740395	127741433	1	0	12
127740395	127741433	1	0	13
127740395	127741433	1	0	14
127740395	127742950	1	0	8
127740397	127740476	1	0	0
