15
ENST00000259523	127735433	127740476	127740476	1	3	0	0
ENST00000641252	127735472	127735816	127740476	1	1	3	0
ENST00000517291	127735518	127738771	127740476	1	3	4	0
ENST00000651626	127735658	127741433	127740476	1	3	7	0
ENST00000641036	127736045	127736611	127741433	1	1	10	0
ENST00000377970	127736083	127741433	127741433	1	3	11	0
ENST00000524013	127736219	127741371	127741433	1	3	14	0
ENST00000520751	127736230	127738474	127741433	1	2	17	0
ENST00000621592	127736230	127742950	127741433	1	3	19	0
ENST00000707113	127736957	127741433	127742950	1	3	22	0
ENST00000652288	127737620	127741433	127742950	1	3	25	0
ENST00000707114	127737723	127741433	127742950	1	3	28	0
ENST00000707115	127737736	127741433	127742950	1	2	31	0
ENST00000707116	127737744	127741433	127742950	1	3	33	0
ENST00000707117	127739072	127741433	127742950	1	2	36	0
